102 Abbottsfield, 47 Stops
1107,Kingsway_RAH_Transit_Centre
1533,106_Street_&_113_Avenue
1227,106_Street_&_117_Avenue
1476,106_Street_&_118_Avenue
1437,105_Street_&_120_Avenue
1158,105_Street_&_122_Avenue
1560,103_Street_&_122_Avenue
1470,101_Street_&_122_Avenue
1441,97_Street_&_122_Avenue
1264,95_Street_&_122_Avenue
1599,93_Street_&_122_Avenue
1534,91_Street_&_122_Avenue
1442,89_Street_&_122_Avenue
1386,87_Street_&_122_Avenue
1370,82_Street_&_122_Avenue
1259,82_Street_&_120_Avenue
1235,82_Street_&_118_Avenue
1044,80_Street_&_118_Avenue
1204,Coliseum_Transit_Centre
1131,76_Street_&_118_Avenue
1294,Wayne_Gretzky_Drive_S_&_118_Avenue
1236,70_Street_&_118_Avenue
1033,68_Street_&_118_Avenue
1285,66_Street_&_118_Avenue
1096,64_Street_&_118_Avenue
1124,62_Street_&_118_Avenue
1527,60_Street_&_118_Avenue
1182,57_Street_&_118_Avenue
1225,55_Street_&_118_Avenue
1521,54_Street_&_118_Avenue
1275,54_Street_&_120_Avenue
1144,54_Street_&_121_Avenue
1330,54_Street_&_122_Avenue
1490,53_Street_&_123_Avenue
1177,50_Street_&_123_Avenue
1070,50_Street_&_121_Avenue
1545,48_Street_&_121_Avenue
1449,46_Street_&_121_Avenue
1054,44_Street_&_121_Avenue
1186,42_Street_&_121_Avenue
1192,40_Street_&_121_Avenue
1230,38_Street_&_121_Avenue
1586,36_Street_&_121_Avenue
1046,34_Street_&_Abbottsfield_Road
1068,32_Street_&_Abbottsfield_Road
1086,Abbottsfield_Road_&_120_Avenue
1001,Abbottsfield_Transit_Centre
