102 Kingsway_Rah, 53 Stops
1001,Abbottsfield_Transit_Centre
1241,34_Street_&_119_Avenue
1156,32_Street_&_118_Avenue
1715,Abbottsfield_Road_&_118_Avenue
1055,Abbottsfield_Road_&_119_Avenue
1548,Abbottsfield_Road_&_120_Avenue
1440,32_Street_&_Abbottsfield_Road
1520,34_Street_&_Abbottsfield_Road
1168,36_Street_&_121_Avenue
1443,38_Street_&_121_Avenue
1065,40_Street_&_121_Avenue
1593,42_Street_&_121_Avenue
1447,44_Street_&_121_Avenue
1255,46_Street_&_121_Avenue
1037,48_Street_&_121_Avenue
1590,50_Street_&_121_Avenue
1010,50_Street_&_122_Avenue
1340,50_Street_&_123_Avenue
1087,54_Street_&_123_Avenue
1432,54_Street_&_122_Avenue
1036,54_Street_&_121_Avenue
1031,54_Street_&_118_Avenue
1596,55_Street_&_118_Avenue
1384,57_Street_&_118_Avenue
1133,59_Street_&_118_Avenue
1149,61_Street_&_118_Avenue
1564,64_Street_&_118_Avenue
1157,66_Street_&_118_Avenue
1185,69_Street_&_118_Avenue
1576,71_Street_&_118_Avenue
1015,Wayne_Gretzky_Drive_S_&_118_Avenue
1079,76_Street_&_118_Avenue
1209,Coliseum_Transit_Centre
1327,80_Street_&_118_Avenue
1136,82_Street_&_118_Avenue
1485,82_Street_&_120_Avenue
1194,82_Street_&_122_Avenue
1139,86_Street_&_122_Avenue
1528,88_Street_&_122_Avenue
1339,90_Street_&_122_Avenue
1422,92_Street_&_122_Avenue
1263,95_Street_&_122_Avenue
1524,96_Street_&_122_Avenue
1278,97_Street_&_122_Avenue
1257,103_Street_&_122_Avenue
1444,105_Street_&_122_Avenue
1467,105_Street_&_120_Avenue
1075,105_Street_&_118_Avenue
1223,106_Street_&_117_Avenue
1152,106_Street_&_114_Avenue
1226,106_Street_&_113_Avenue
11308,106_Street_&_111_Avenue
1107,Kingsway_RAH_Transit_Centre
