103 Eaux_Claires, 63 Stops
1106,Kingsway_RAH_Transit_Centre
1024,102_Street_&_111_Avenue
1233,101_Street_&_111_Avenue
1484,101_Street_&_112_Avenue
1348,101_Street_&_113_Avenue
1594,101_Street_&_115_Avenue
1237,101_Street_&_117_Avenue
1040,97_Street_&_118_Avenue
1126,97_Street_&_120_Avenue
1523,97_Street_&_122_Avenue
1559,97_Street_&_124_Avenue
6421,102_Street_&_127_Avenue
6250,103_Street_&_127_Avenue
6284,103_Street_&_129_Avenue
6221,105_Street_&_129_Avenue
6181,107_Street_&_129_Avenue
6363,109_Street_&_129_Avenue
6295,112_Street_&_129_Avenue
6193,113_Street_&_129_Avenue
6167,115_Street_&_129_Avenue
6581,117_Street_&_129_Avenue
6253,119_Street_&_129_Avenue
6555,121_Street_&_129_Avenue
6454,123_Street_&_129_Avenue
6571,125_Street_&_129_Avenue
6333,127_Street_&_129_Avenue
6553,127_Street_&_131_Avenue
6487,127_Street_&_132_Avenue
6251,127_Street_&_134_Avenue
6142,127_Street_&_135_Avenue
6243,127_Street_&_137_Avenue
6624,127_Street_&_142_Avenue
6631,123_Street_&_142_Avenue
6276,123_Street_&_142_Avenue
6446,121_Street_&_142_Avenue
6282,121_Street_&_143_Avenue
6586,121_Street_&_145_Avenue
6230,121_Street_&_146_Avenue
6192,121_Street_&_148_Avenue
6186,121_Street_&_150_Avenue
66095,121_Street_&_152_Avenue
6420,118_Street_&_152_Avenue
6562,116_Street_&_152_Avenue
6140,114_Street_&_152_Avenue
6458,Castle_Downs_Road_&_McCrae_Avenue
6003,Castle_Downs_Transit_Centre
6699,Castle_Downs_Road_&_156_Avenue
6561,Castle_Downs_Road_&_157_Avenue
6584,Castle_Downs_Road_&_Beaumaris_Road
6077,112_Street_&_Castle_Downs_Road
6054,109_Street_&_Castle_Downs_Road
6058,109_Street_&_168_Avenue
6060,109_Street_&_171_Avenue
6064,106_Street_&_172_Avenue
6068,102_Street_&_172_Avenue
6070,100_Street_&_171_Avenue
6072,100_Street_&_169_Avenue
6168,100_Street_&_Castle_Downs_Road
6045,100_Street_&_164_Avenue
6043,100_Street_&_162_Avenue
6447,100_Street_&_160_Avenue
6362,97_Street_&_160_Avenue
6315,Eaux_Claires_Transit_Centre
