106 Belvedere, 38 Stops
6573,Dunvegan_Road_Loop
6288,Dunvegan_Road_&_131_Avenue
6469,140_Street_&_132_Avenue
6494,140_Street_&_135_Avenue
6252,137_Street_&_135_Avenue
6376,135_Street_&_135_Avenue
6525,135_Street_&_132_Avenue
6097,132_Street_&_132_Avenue
6132,129_Street_&_132_Avenue
6138,127_Street_&_132_Avenue
6539,125_Street_&_132_Avenue
6597,123_Street_&_132_Avenue
6397,120_Street_&_132_Avenue
6465,117_Street_&_132_Avenue
6579,113_Street_&_132_Avenue
6145,109_Street_&_132_Avenue
6537,105_Street_&_132_Avenue
6189,102_Street_&_132_Avenue
7465,97_Street_&_132_Avenue
7249,97_Street_&_134_Avenue
7579,97_Street_&_135_Avenue
7007,Northgate_Transit_Centre
7138,93_Street_&_137_Avenue
7597,92_Street_&_135_Avenue
77636,90_Street_&_134_Avenue
7585,90_Street_&_132_Avenue
7165,88_Street_&_132_Avenue
7299,85_Street_&_132_Avenue
7286,82_Street_&_132_Avenue
7137,79_Street_&_132_Avenue
7143,76_Street_&_132_Avenue
7099,72_Street_&_132_Avenue
7541,69_Street_&_132_Avenue
7310,66_Street_&_132_Avenue
7389,62_Street_&_132_Avenue
7357,59_Street_&_132_Avenue
7330,Fort_Road_&_131_Avenue
7212,Belvedere_Transit_Centre
