108 Belvedere, 42 Stops
7105,East_Clareview_Transit_Centre
7226,42_Street_&_139_Avenue
7372,42_Street_&_139_Avenue
7476,40_Street_&_139_Avenue
7532,38_Street_&_139_Avenue
7401,37_Street_&_139_Avenue
7688,36_Street_&_139_Avenue
7699,34_Street_&_139_Avenue
7466,31_Street_&_139_Avenue
7390,30_Street_&_139_Avenue
7575,Victoria_Trail_&_139_Avenue
7240,26_Street_&_139_Avenue
7047,25_Street_&_142_Avenue
7569,23_Street_&_142_Avenue
7134,23_Street_&_140_Avenue
7183,24_Street_&_139_Avenue
7382,24_Street_&_137_Avenue
7739,24_Street_&_136_Avenue
7874,25_Street_&_135_Avenue
7687,Clareview_Road_&_135_Avenue
7655,Clareview_Road_&_132_Avenue
7756,Clareview_Road_&_132_Avenue
7861,Victoria_Trail_&_132_Avenue
7629,Victoria_Trail_&_130_Avenue
7884,Victoria_Trail_&_Hooke_Road
7920,Hooper_Crescent_E_Ent_&_Hooke_Road
7891,Hooper_Crescent_W_Ent_&_Hooke_Road
7630,Homestead_Crescent_&_Hooke_Road
7639,Hooke_Road_&_Hermitage_Road
7876,Homestead_Crescent_&_Hermitage_Road
7640,Henry_Avenue_&_Hermitage_Road
7686,40_Street_&_Hermitage_Road
7859,Hermitage_Road_&_128_Avenue
7930,Habitat_Crescent_E_Ent_&_Hermitage_Road
7960,Habitat_Crescent_W_Ent_&_Hermitage_Road
7645,50_Street_&_Hermitage_Road
7178,50_Street_&_129_Avenue
7472,53_Street_&_129_Avenue
7573,55_Street_&_129_Avenue
7387,58_Street_&_129_Avenue
77330,58_Street_&_129_Avenue
7204,Belvedere_Transit_Centre
