109 Castle_Downs, 69 Stops
7009,Northgate_Transit_Centre
6148,101_Street_&_Griesbach_Road
6404,Sir_Arthur_Currie_Way_&_Greisbach_Road
6642,Gault_Boulevard_&_Sir_Arthur_Currie_Way
6703,Pegasus_Boulevard_&_Sir_Arthur_Currie_Way
66014,Naden_Landing_&_Sir_Arthur_Currie_Way
63312,Sir_Arthur_Currie_Way_&_Ad_Astra_Boulevard
66320,Griesbach_Road_&_Sir_Arthur_Currie_Way
6468,Griesbach_Road_&_152_Avenue
6356,Griesbach_Road_&_153_Avenue
6102,Castle_Downs_Road_&_153_Avenue
6009,Castle_Downs_Transit_Centre
6699,Castle_Downs_Road_&_156_Avenue
6561,Castle_Downs_Road_&_157_Avenue
6131,Castle_Downs_Road_&_162_Avenue
6590,115_Street_&_162_Avenue
6082,115_Street_&_Dunluce_Road
6084,120_Street_&_Dunluce_Road
6086,284_Dunluce_Road
6088,Dunluce_Road_&_Warwick_Road_N_Ent
6090,Warwick_Road_S_Ent_&_Dunluce_Road
6117,127_Street_&_161_Avenue
6401,127_Street_&_167_Avenue
6780,130_Street_&_167_Avenue
6712,130_Street_&_165_Avenue
6846,131_Street_&_165_Avenue
6879,133_Street_&_165_Avenue
6865,135_Street_&_165_Avenue
6717,139_Street_&_164_Avenue
6603,139_Street_&_160_Avenue
6763,139_Street_&_159_Avenue
6632,139_Street_&_156_Avenue
6690,138_Street_&_155_Avenue
6676,137_Street_&_155_Avenue
6111,137_Street_&_153_Avenue
6613,139_Street_&_153_Avenue
6686,139_Street_&_150_Avenue
6758,139_Street_&_148_Avenue
6853,139_Street_&_Cumberland_Road
6115,138_Street_&_Cumberland_Road
6392,134_Street_&_Cumberland_Road
6103,Hudson_Court_&_Hudson_Road
6692,Hudson_Road_&_Hudson_Place
6858,Hudson_Road_&_141_Avenue
6707,Hudson_Road_&_141_Avenue
6768,138_Street_&_Hudson_Road
6822,Hudson_Road_&_142_Avenue
6869,138_Street_&_Hudson_Road
6726,136_Street_&_Hudson_Road
6107,Hudson_Road_&_141_Avenue
6748,134_Street_&_Hudson_Road
6860,Hudson_Road_&_Cumberland_Road
6546,129_Street_&_Cumberland_Road
6498,Hudson_Way_&_Cumberland_Road
6624,127_Street_&_142_Avenue
6631,123_Street_&_142_Avenue
6276,123_Street_&_142_Avenue
6547,121_Street_&_142_Avenue
6375,120_Street_&_139_Avenue
6267,119_Street_&_139_Avenue
6396,117_Street_&_139_Avenue
6355,114_Street_&_139_Avenue
66159,Castle_Downs_Road_&_Juchli_Avenue
66157,Admiral_Girouard_Street_&_Juchli_Avenue
6560,111_Street_&_137_Avenue
6158,108_Street_&_137_Avenue
6437,104_Street_&_137_Avenue
6141,102_Street_&_137_Avenue
7009,Northgate_Transit_Centre
