111 Concordia_Univ, 60 Stops
5209,Westmount_Transit_Centre
5466,135_Street_&_114_Avenue
5391,135_Street_&_114_Avenue
1907,Groat_Road_&_114_Avenue
1875,130_Street_&_115_Avenue
1861,128_Street_&_115_Avenue
1726,St_Albert_Trail_&_115_Avenue
11097,St_Albert_Trail_&_113_Avenue
1658,130_Street_&_111_Avenue
1968,129_Street_&_111_Avenue
1830,127_Street_&_111_Avenue
1283,124_Street_&_111_Avenue
1272,122_Street_&_111_Avenue
1388,119_Street_&_111_Avenue
1540,116_Street_&_111_Avenue
11096,Central_Lions_Recreation_Centre
1488,113_Street_&_111_Avenue
1899,109_Street_&_111_Avenue
1674,109_Street_&_113_Avenue
1890,109_Street_&_Princess_Elizabeth_Avenue
1152,106_Street_&_114_Avenue
1226,106_Street_&_113_Avenue
11308,106_Street_&_111_Avenue
1111,Kingsway_RAH_Transit_Centre
1024,102_Street_&_111_Avenue
1377,102_Street_&_111_Avenue
1366,101_Street_&_111_Avenue
1568,101_Street_&_110_Avenue
1426,101_Street_&_Kingsway
1360,101_Street_&_107_Avenue
1050,101_Street_&_105_Avenue
1064,101_Street_&_103_Avenue
1243,101_Street_&_102_Avenue
1336,101_Street_&_Jasper_Avenue
1256,Thornton_Court_&_Jasper_Avenue
1196,97_Street_&_Jasper_Avenue
1393,96_Street_&_Jasper_Avenue
1565,95_Street_&_102_Avenue
1555,97_Street_&_103_Avenue
1479,97_Street_&_103_Avenue
1581,97_Street_&_105_Avenue
1167,97_Street_&_106_Avenue
1193,97_Street_&_107_Avenue
1344,95_Street_&_107_Avenue
1169,95_Street_&_108_Avenue
1453,95_Street_&_109_Avenue
1895,95_Street_&_110_Avenue
1268,95_Street_&_111_Avenue
1189,95_Street_&_113_Avenue
1537,95_Street_&_114_Avenue
1163,95_Street_&_115_Avenue
1353,91_Street_&_115_Avenue
1239,86_Street_&_114_Avenue
1403,Stadium_Transit_Centre
1094,82_Street_&_112_Avenue
1480,79_Street_&_112_Avenue
1475,76_Street_&_112_Avenue
1154,74_Street_&_112_Avenue
1017,73_Street_&_111_Avenue
15177,Concordia_University
