116 Abbottsfield, 29 Stops
7102,East_Clareview_Transit_Centre
7226,42_Street_&_139_Avenue
7372,42_Street_&_139_Avenue
7379,40_Street_&_139_Avenue
7623,40_Street_&_137_Avenue
7734,40_Street_&_134_Avenue
7854,37_Street_&_134_Avenue
7983,37_Street_&_132_Avenue
7648,34_Street_&_132_Avenue
7653,31_Street_&_132_Avenue
7942,Victoria_Trail_&_132_Avenue
7833,27_Street_&_Clareview_Road_E_Ent
7723,25_Street_&_Clareview_Road
7834,Clareview_Road_E_&_129_Avenue
7626,Clareview_Road_W_&_129_Avenue
7729,28_Street_&_Clareview_Road
7629,Victoria_Trail_&_130_Avenue
7744,Howson_Crescent_&_Hooke_Road
7946,740_Hooke_Road
7633,Hooke_Road_&_Hermitage_Road
7837,Hyndman_Crescent_E_Ent_&_Hermitage_Road
7722,Hyndman_Road_&_Hyndman_Crescent
7657,Hyndman_Crescent_&_Hermitage_Road
7771,Hyndman_Crescent_&_Hermitage_Road
7667,Victoria_Trail_&_Hermitage_Road
1776,34_Street_&_118_Avenue
1580,34_Street_&_118_Avenue
1612,34_Street_&_119_Avenue
1002,Abbottsfield_Transit_Centre
