117 Eaux_Claires, 38 Stops
7909,West_Clareview_Transit_Centre
73307,Clareview_Drive_&_143_Avenue
77187,Ebbers_Boulevard_&_144_Avenue
77434,Ebbers_Boulevard_&_Ebbers_Way
77615,Ebbers_Boulevard_&_Ebbers_Way_N
77679,37_Street_&_153_Avenue
77346,Manning_Drive_&_153_Avenue
77185,45_Street_&_153_Avenue
77285,Miller_Boulevard_&_153_Avenue
77802,50_Street_&_153_Avenue
7276,54_Street_&_153_Avenue
7547,59_Street_&_153_Avenue
7241,59_Street_&_156_Avenue
7580,60_Street_&_156_Avenue
7067,63_Street_&_156_Avenue
7176,64_Street_&_157_Avenue
7058,64_Street_&_158_Avenue
7386,67_Street_&_158_Avenue
7442,68_Street_&_158_Avenue
7599,Ozerna_Road_&_158_Avenue
7264,94_Ozerna_Road
7441,73_Street_&_154_Avenue
7126,Mayliewan_Close_&_154_Avenue
7427,78_Street_&_154_Avenue
7040,78_Street_&_157_Avenue
7048,78_Street_&_158_Avenue
7398,78_Street_&_160_Avenue
7832,Cherry_Grove_Place_&_160_Avenue
7959,82_Street_&_160_Avenue
7674,84_Street_&_160_Avenue
7979,88_Street_&_159_Avenue
7753,88_Street_&_158_Avenue
7787,88_Street_&_156_Avenue
7523,88_Street_&_153_Avenue
7524,90_Street_&_153_Avenue
7263,94_Street_&_153_Avenue
7482,97_Street_&_153_Avenue
6306,Eaux_Claires_Transit_Centre
