118 Clareview, 50 Stops
6313,Eaux_Claires_Transit_Centre
7743,97_Street_&_160_Avenue
77630,95_Street_&_160_Avenue
77646,92_Street_&_163_Avenue
7751,90_Street_&_164_Avenue
7313,88_Street_&_164_Avenue
7501,87_Street_&_164_Avenue
7779,84_Street_&_162_Avenue
7559,84_Street_&_162_Avenue
7989,84_Street_&_160_Avenue
7677,84_Street_&_160_Avenue
7736,82_Street_&_160_Avenue
7925,78_Street_&_160_Avenue
7315,77_Street_&_161_Avenue
7889,77_Street_&_164_Avenue
77122,Ozerna_Road_&_165_Avenue
7507,76_Street_&_Ozerna_Road
7803,73_Street_&_Ozerna_Road
7817,71_Street_&_Ozerna_Road
7309,Ozerna_Road_&_165_Avenue
7775,Ozerna_Road_&_163_Avenue
7670,Ozerna_Road_&_162_Avenue
7651,Ozerna_Road_&_159_Avenue
7380,Ozerna_Road_&_158_Avenue
7049,68_Street_&_158_Avenue
7298,66_Street_&_158_Avenue
7326,64_Street_&_159_Avenue
7446,64_Street_&_160_Avenue
7995,64_Street_&_162_Avenue
7990,64_Street_&_164_Avenue
7305,62_Street_&_165_Avenue
7816,60_Street_&_165_Avenue
77348,59_Street_&_165_Avenue
7071,59_Street_&_162_Avenue
7491,59_Street_&_162_Avenue
7061,57_Street_&_162_Avenue
7522,Hollick_Kenyon_Road_&_162_Avenue
7505,54_Street_&_162_Avenue
77631,54_Street_&_159_Avenue
77273,50_Street_&_Brintnell_Boulevard
7117,47_Street_&_Brintnell_Boulevard
7951,45_Street_&_157_Avenue
7973,45_Street_&_155_Avenue
77185,45_Street_&_153_Avenue
7319,Miller_Boulevard_&_152_Avenue
7840,Miller_Boulevard_&_151_Avenue
7752,Miller_Boulevard_&_Matheson_Way
7761,Miller_Boulevard_&_145_Avenue
7695,Manning_Drive_&_Miller_Boulevard
7901,West_Clareview_Transit_Centre
