120 Gov'T_Centre_Express, 18 Stops
6309,Eaux_Claires_Transit_Centre
7003,Northgate_Transit_Centre
6594,97_Street_&_135_Avenue
6339,97_Street_&_132_Avenue
6280,97_Street_&_128_Avenue
1398,97_Street_&_122_Avenue
1380,97_Street_&_118_Avenue
1221,97_Street_&_111_Avenue
1250,97_Street_&_107_Avenue
11309,97_Street_&_103_Avenue
1064,101_Street_&_103_Avenue
1243,101_Street_&_102_Avenue
1620,101_Street_&_Jasper_Avenue
1673,103_Street_&_Jasper_Avenue
1622,104_Street_&_Jasper_Avenue
1964,107_Street_&_Jasper_Avenue
1941,107_Street_&_100_Avenue
1307,Government_Transit_Centre
