121 Clareview, 28 Stops
7128,Evergreen_Mobile_Park_Loop
7949,10_Street_&_167_Avenue
7423,11_Street_&_167_Avenue
7346,18_Street_&_167_Avenue
7262,Alberta_Hospital
77695,17_Street_&_Fraser_Way
77694,14_Street_&_Fraser_Way
77693,Fraser_Way_&_Fraser_Vista
77125,14_Street_&_Fraser_Way
7608,Fraser_Way_&_148_Avenue
7935,19_Street_&_147_Avenue
7841,21_Street_&_147_Avenue
7484,23_Street_&_146_Avenue
7233,26_Street_&_146_Avenue
7529,26_Street_&_151_Avenue
7620,Victoria_Trail_&_151_Avenue
7791,Kirkness_Road_&_150_Avenue
7860,Kirkness_Road_&_148_Avenue
7679,32_Street_&_Kirkness_Road
7621,34_Street_&_Kirkness_Road
7940,Kirkness_Road_&_145_Avenue
7766,36_Street_&_144_Avenue
7896,36_Street_&_139_Avenue
7413,37_Street_&_139_Avenue
7227,38_Street_&_139_Avenue
7550,40_Street_&_139_Avenue
7533,42_Street_&_139_Avenue
7106,East_Clareview_Transit_Centre
