122 Lago_Lindo, 33 Stops
6304,Eaux_Claires_Transit_Centre
7463,97_Street_&_160_Avenue
7504,97_Street_&_162_Avenue
7851,95_Street_&_162_Avenue
7741,95_Street_&_165_Avenue
7770,95_Street_&_165_Avenue
7797,95_Street_&_167_Avenue
7693,91_Street_&_167_Avenue
7684,88_Street_&_167_Avenue
7740,84_Street_&_167_Avenue
7847,82_Street_&_167_Avenue
7611,82_Street_&_Schonsee_Way
7511,Klarvatten_Lake_Wynd_&_173_Avenue
7814,87_Street_&_175_Avenue
77276,87_Street_&_177_Avenue
77136,87_Street_&_179_Avenue
77145,87_Street_&_180_Avenue
77129,89_Street_&_180_Avenue
7243,91_Street_&_179_Avenue
7462,92_Street_&_179_Avenue
7064,94_Street_&_179_Avenue
7050,95_Street_&_178_Avenue
7360,95_Street_&_176_Avenue
7426,95_Street_&_174_Avenue
7568,95_Street_&_171_Avenue
7366,Lago_Lindo_Crescent_&_168_Avenue
7435,93_Street_&_168_Avenue
7483,91_Street_&_168_Avenue
7434,91_Street_&_167_Avenue
7945,95_Street_&_167_Avenue
7303,97_Street_&_165_Avenue
6362,97_Street_&_160_Avenue
6304,Eaux_Claires_Transit_Centre
