127 Castle_Downs, 43 Stops
7008,Northgate_Transit_Centre
77340,Northgate_Mall_Entrance
77356,Northgate_Mall_East_Entrance
7056,94_Street_&_135_Avenue
6348,97_Street_&_135_Avenue
6484,102_Street_&_135_Avenue
6472,103_Street_&_134_Avenue
6930,102_Street_&_134_Avenue
6484,102_Street_&_135_Avenue
6233,104_Street_&_134_Avenue
6529,105_Street_&_134_Avenue
6477,107_Street_&_134_Avenue
6554,109_Street_&_134_Avenue
6587,111_Street_&_134_Avenue
6439,113_Street_&_134_Avenue
6570,116_Street_&_134_Avenue
6492,119_Street_&_134_Avenue
6128,122_Street_&_134_Avenue
6423,123_Street_&_135_Avenue
6346,125_Street_&_135_Avenue
6688,Shepherd's_Care_Wellness_Centre
6142,127_Street_&_135_Avenue
6467,127_Street_&_137_Avenue
6732,White_Oaks_Square
6638,123_Street_&_140_Avenue
6643,123_Street_&_140_Avenue
6740,127_Street_&_140_Avenue
6885,127_Street_&_140_Avenue
6680,Palisades_Square
6146,127_Street_&_137_Avenue
6852,131_Street_&_137_Avenue
6206,133_Street_&_140_Avenue
6785,127_Street_&_140_Avenue
6926,127_Street_&_140_Avenue
6179,127_Street_&_142_Avenue
6784,127_Street_&_145_Avenue
6415,127_Street_&_146_Avenue
6589,127_Street_&_148_Avenue
6572,127_Street_&_152_Avenue
6486,126_Street_&_153_Avenue
6342,121_Street_&_153_Avenue
6445,Castle_Downs_Road_&_153_Avenue
6002,Castle_Downs_Transit_Centre
