130 Baturyn_Express, 31 Stops
1310,Government_Transit_Centre
1794,107_Street_&_99_Avenue
1711,107_Street_&_100_Avenue
1035,107_Street_&_Jasper_Avenue
1271,105_Street_&_Jasper_Avenue
1322,103_Street_&_Jasper_Avenue
1336,101_Street_&_Jasper_Avenue
1256,Thornton_Court_&_Jasper_Avenue
1571,97_Street_&_Jasper_Avenue
1555,97_Street_&_103_Avenue
1479,97_Street_&_103_Avenue
1193,97_Street_&_107_Avenue
1471,97_Street_&_111_Avenue
1427,97_Street_&_118_Avenue
1523,97_Street_&_122_Avenue
7351,97_Street_&_127_Avenue
7465,97_Street_&_132_Avenue
7579,97_Street_&_135_Avenue
6314,Eaux_Claires_Transit_Centre
6593,97_Street_&_160_Avenue
6042,100_Street_&_160_Avenue
6044,100_Street_&_162_Avenue
6443,100_Street_&_164_Avenue
6075,100_Street_&_Castle_Downs_Road
6073,100_Street_&_169_Avenue
6069,100_Street_&_171_Avenue
6067,102_Street_&_172_Avenue
6063,106_Street_&_172_Avenue
6059,109_Street_&_171_Avenue
6057,109_Street_&_168_Avenue
6078,109_Street_&_Castle_Downs_Road
