140 Palisades_Express, 43 Stops
1112,Kingsway_RAH_Transit_Centre
1797,109_Street_&_Kingsway
1904,Airport_Road_E_&_Kingsway
1653,Airport_Road_W_&_Kingsway
1974,127_Street_&_118_Avenue
1618,127_Street_&_119_Avenue
1984,127_Street_&_121_Avenue
1735,127_Street_&_123_Avenue
6191,127_Street_&_127_Avenue
6333,127_Street_&_129_Avenue
6553,127_Street_&_131_Avenue
6487,127_Street_&_132_Avenue
6251,127_Street_&_134_Avenue
6142,127_Street_&_135_Avenue
6243,127_Street_&_137_Avenue
6179,127_Street_&_142_Avenue
6784,127_Street_&_145_Avenue
6415,127_Street_&_146_Avenue
6156,128_Street_&_148_Avenue
6473,129_Street_&_149_Avenue
6247,130_Street_&_150_Avenue
6620,132_Street_&_150_Avenue
6729,134_Street_&_153_Avenue
6652,137_Street_&_153_Avenue
6725,137_Street_&_155_Avenue
6256,134_Street_&_155_Avenue
6566,132_Street_&_155_Avenue
6261,131_Street_&_155_Avenue
6174,129_Street_&_156_Avenue
6245,129_Street_&_158_Avenue
6634,129_Street_&_161_Avenue
6119,131_Street_&_162_Avenue
6747,132_Street_&_160_Avenue
6650,137_Street_&_160_Avenue
6715,139_Street_&_161_Avenue
6862,139_Street_&_163_Avenue
6827,139_Street_&_164_Avenue
6831,138_Street_&_165_Avenue
6410,138_Street_&_167_Avenue
6656,Albany_Way_East_&_167_Avenue
6705,Albany_Drive_&_167_Avenue
6821,130_Street_&_167_Avenue
6714,127_Street_&_167_Avenue_Nearside
