140 Kingsway_Rah_Express, 44 Stops
6401,127_Street_&_167_Avenue
66145,128_Street_&_167_Avenue_WB
66182,Albany_Drive_&_167_Avenue
66134,Albany_Drive_&_167_Avenue
66176,Albany_Way_&_167_Avenue
6708,138_Street_&_167_Avenue
6874,138_Street_&_165_Avenue
6717,139_Street_&_164_Avenue
6710,139_Street_&_160_Avenue
6782,137_Street_&_160_Avenue
6742,132_Street_&_160_Avenue
6615,131_Street_&_162_Avenue
6848,130_Street_&_162_Avenue
6569,129_Street_&_160_Avenue
6359,129_Street_&_157_Avenue
6438,131_Street_&_155_Avenue
6578,132_Street_&_155_Avenue
6329,133_Street_&_155_Avenue
6695,135_Street_&_155_Avenue
6676,137_Street_&_155_Avenue
6622,137_Street_&_153_Avenue
6628,134_Street_&_150_Avenue
6330,131_Street_&_150_Avenue
6526,129_Street_&_149_Avenue
6543,129_Street_&_148_Avenue
6296,127_Street_&_148_Avenue
6414,127_Street_&_145_Avenue
6175,127_Street_&_142_Avenue
6563,127_Street_&_140_Avenue
6462,127_Street_&_137_Avenue
6360,127_Street_&_135_Avenue
6426,127_Street_&_133_Avenue
6568,127_Street_&_132_Avenue
6366,127_Street_&_131_Avenue
6369,127_Street_&_129_Avenue
6289,127_Street_&_128_Avenue
1932,127_Street_&_124_Avenue
1762,127_Street_&_122_Avenue
1858,127_Street_&_120_Avenue
1739,127_Street_&_118_Avenue
1731,119_Street_&_Kingsway
1994,117_Street_&_Kingsway
1951,109_Street_&_Kingsway
1112,Kingsway_RAH_Transit_Centre
