4 Capilano, 72 Stops
8602,Lewis_Farms_Transit_Centre
5783,187_Street_&_87_Avenue
5820,186_Street_&_87_Avenue
5737,182_Street_&_87_Avenue
5654,182_Street_&_87_Avenue
5482,178_Street_&_87_Avenue
5690,178_Street_&_89_Avenue
5216,West_Edmonton_Mall_Transit_Centre
5186,169_Street_&_87_Avenue
5486,165_Street_&_87_Avenue
5566,164_Street_&_87_Avenue
5578,161_Street_&_87_Avenue
5359,159_Street_&_87_Avenue
5281,156_Street_&_87_Avenue
5197,153_Street_&_87_Avenue
5332,152_Street_&_87_Avenue
5451,150_Street_&_87_Avenue
5499,149_Street_&_87_Avenue
5298,149_Street_&_84_Avenue
4425,Fort_Edmonton_Park_Road_&_Fox_Drive
22162,Belgravia_Road_&_Fox_Drive
2978,116_Street_&_Belgravia_Road
22159,116_Street_&_68_Avenue
2714,South_Campus_Fort_Edmonton_Transit_Centre
2712,South_Campus_Fort_Edmonton_Transit_Centre
2885,113_Street_&_65_Avenue
22157,113_Street_&_67_Avenue
2959,113_Street_&_72_Avenue
2944,114_Street_&_74_Avenue
2505,114_Street_&_76_Avenue
2516,114_Street_&_78_Avenue
2748,114_Street_&_82_Avenue
2982,114_Street_&_83_Avenue
2638,114_Street_&_85_Avenue
2625,114_Street_&_87_Avenue
2890,114_Street_&_89_Avenue
2002,University_Transit_Centre
22720,112_Street_&_86_Avenue
2410,112_Street_&_84_Avenue
2834,112_Street_&_82_Avenue
2686,110_Street_&_82_Avenue
2680,109_Street_&_82_Avenue
2724,107_Street_&_82_Avenue
2722,105_Street_&_82_Avenue
2860,104_Street_&_82_Avenue
2864,102_Street_&_82_Avenue
2681,101_Street_&_82_Avenue
2285,99_Street_&_82_Avenue
2096,97_Street_&_82_Avenue
2124,96_Street_&_82_Avenue
2527,93_Street_&_82_Avenue
2848,91_Street_&_82_Avenue
2443,89_Street_&_82_Avenue
2065,87_Street_&_82_Avenue
2593,85_Street_&_82_Avenue
2255,83_Street_&_82_Avenue
2222,81_Street_&_82_Avenue
2328,79_Street_&_82_Avenue
2260,75_Street_&_83_Avenue
2361,75_Street_&_84_Avenue
22662,75_Street_&_86_Avenue
22653,75_Street_&_90_Avenue
2380,73_Street_&_90_Avenue
2121,71_Street_&_90_Avenue
22073,68_Street_&_90_Avenue
22230,58_Street_&_90_Avenue
2783,50_Street_&_90_Avenue
2990,50_Street_&_92_Avenue
2227,50_Street_&_93_Avenue
2059,50_Street_&_94_Avenue
2379,50_Street_&_98_Avenue
2306,Capilano_Transit_Centre
