4 Lewis_Farms_Via_Wem, 73 Stops
2306,Capilano_Transit_Centre
2532,50_Street_&_98_Avenue
2985,50_Street_&_94_Avenue
2919,50_Street_&_93_Avenue
2775,50_Street_&_92_Avenue
2277,50_Street_&_90_Avenue
2417,58_Street_&_90_Avenue
22910,58_Street_&_90_Avenue
2376,Ottewell_Road_&_90_Avenue
2231,71_Street_&_90_Avenue
2015,73_Street_&_90_Avenue
22666,75_Street_&_90_Avenue
22659,75_Street_&_86_Avenue
2167,75_Street_&_82_Avenue
2193,79_Street_&_82_Avenue
2037,81_Street_&_82_Avenue
2159,83_Street_&_82_Avenue
2590,85_Street_&_82_Avenue
2340,87_Street_&_82_Avenue
2087,89_Street_&_82_Avenue
2131,91_Street_&_82_Avenue
2294,93_Street_&_82_Avenue
2236,96_Street_&_82_Avenue
2033,97_Street_&_82_Avenue
2659,99_Street_&_82_Avenue
2853,101_Street_&_82_Avenue
2723,102_Street_&_82_Avenue
2891,104_Street_&_82_Avenue
2845,105_Street_&_82_Avenue
2683,106_Street_&_82_Avenue
2893,107_Street_&_82_Avenue
2788,108_Street_&_82_Avenue
2689,109_Street_&_82_Avenue
2733,111_Street_&_82_Avenue
2752,112_Street_&_82_Avenue
2982,114_Street_&_83_Avenue
2638,114_Street_&_85_Avenue
2625,114_Street_&_87_Avenue
2890,114_Street_&_89_Avenue
2001,University_Transit_Centre
22720,112_Street_&_86_Avenue
2410,112_Street_&_84_Avenue
2660,114_Street_&_83_Avenue
2764,114_Street_&_82_Avenue
2921,114_Street_&_78_Avenue
2503,114_Street_&_76_Avenue
2956,114_Street_&_74_Avenue
2953,113_Street_&_71_Avenue
22158,113_Street_&_67_Avenue
22156,113_Street_&_65_Avenue
2707,South_Campus_Fort_Edmonton_Transit_Centre
2701,South_Campus_Fort_Edmonton_Transit_Centre
22160,116_Street_&_68_Avenue
2504,Keillor_Road_&_Fox_Drive
4846,Fort_Edmonton_Park_Road_&_Fox_Drive
5420,149_Street_&_84_Avenue
5058,150_Street_&_87_Avenue
5399,152_Street_&_87_Avenue
5450,154_Street_&_87_Avenue
5610,155_Street_&_87_Avenue
5282,156_Street_&_87_Avenue
5446,Meadowlark_Road_&_87_Avenue
5241,Meadowlark_Road_&_87_Avenue
5171,161_Street_&_87_Avenue
5583,163_Street_&_87_Avenue
5070,165_Street_&_87_Avenue
5545,169_Street_&_87_Avenue
5840,West_Edmonton_Mall_Transit_Centre
5381,178_Street_&_89_Avenue
5816,182_Street_&_87_Avenue
5807,185_Street_&_87_Avenue
5819,189_Street_&_87_Avenue
8602,Lewis_Farms_Transit_Centre
