501 Davies, 41 Stops
2305,Capilano_Transit_Centre
2532,50_Street_&_98_Avenue
2476,50_Street_&_94_Avenue
2568,57_Street_&_94_Avenue
2050,61_Street_&_94_Avenue
2462,68_Street_&_94_Avenue
2251,Ottewell_Road_&_94_Avenue
2553,73_Street_&_94_Avenue
2053,75_Street_&_95_Avenue
2333,77_Street_&_95_Avenue
2497,79_Street_&_95_Avenue
2321,81_Street_&_95_Avenue
2457,85_Street_&_95_Avenue
2097,90_Street_&_95_Avenue
2312,92_Street_&_95_Avenue
2149,92_Street_&_93_Avenue
2564,92_Street_&_92_Avenue
2157,92_Street_&_90_Avenue
2185,91_Street_&_87_Avenue
2576,91_Street_&_85_Avenue
2079,91_Street_&_83_Avenue
2131,91_Street_&_82_Avenue
2294,93_Street_&_82_Avenue
2535,96_Street_&_82_Avenue
2456,96_Street_&_79_Avenue
2164,96_Street_&_78_Avenue
2344,96_Street_&_76_Avenue
2563,96_Street_&_74_Avenue
2247,96_Street_&_73_Avenue
2248,96_Street_&_71_Avenue
2472,96_Street_&_68_Avenue
2387,96_Street_&_66_Avenue
2072,94_Street_&_66_Avenue
2479,93_Street_&_66_Avenue
2531,88_Street_&_66_Avenue
2330,88_Street_&_66_Avenue
2394,86_Street_&_66_Avenue
2526,86_Street_&_Argyll_Road
22045,83_Street_&_Wagner_Road
22537,80_Street_&_Wagner_Road
2610,Davies_Transit_Centre
