505 Pylypow, 27 Stops
2607,Davies_Transit_Centre
2588,75_Street_&_McIntyre_Road
22118,75_Street_&_Roper_Road
22218,72_Street_&_Roper_Road
2318,Mill_Creek_&_Roper_Road
2219,59_Street_&_Roper_Road
2119,54_Street_&_Roper_Road
22154,50_Street_&_Roper_Road
2876,48_Street_&_55_Avenue
22170,47_Street_&_53_Avenue
22171,42_Street_&_53_Avenue
22164,42_Street_&_53_Avenue
22165,39_Street_&_53_Avenue
22175,36_Street_&_53_Avenue
22330,36_Street_&_56_Avenue
22195,36_Street_&_Roper_Road
22184,42_Street_&_Roper_Road
22185,45_Street_&_Roper_Road
22196,48_Street_&_Roper_Road
2309,50_Street_&_Roper_Road
22117,54_Street_&_Roper_Road
2314,59_Street_&_Roper_Road
2413,Mill_Creek_&_Roper_Road
2319,72_Street_&_Roper_Road
2010,75_Street_&_Roper_Road
2044,75_Street_&_McIntyre_Road
2607,Davies_Transit_Centre
