506 Maple, 35 Stops
2605,Davies_Transit_Centre
2588,75_Street_&_McIntyre_Road
22118,75_Street_&_Roper_Road
22218,72_Street_&_Roper_Road
2318,Mill_Creek_&_Roper_Road
2219,59_Street_&_Roper_Road
2119,54_Street_&_Roper_Road
2774,50_Street_&_Roper_Road
2818,50_Street_&_55_Avenue
2013,50_Street_&_Whitemud_Drive
3355,50_Street_&_Jamha_Road
3396,Jarvis_Crescent_E_&_Jamha_Road
3267,Jefferys_Crescent_&_Jamha_Road
3387,Jackson_Road_&_Jamha_Road
3573,Jefferson_Road_&_Jackson_Road
3472,Jackson_Road_&_Jellett_Way
3464,38_Street_&_Kiniski_Crescent_N
3247,38_Street_&_43_Avenue
3335,Kirkwood_Way_&_43_Avenue
3563,34_Street_&_43_Avenue
3354,30_Street_&_43_Avenue
3546,28_Street_&_43_Avenue
3729,24_Street_&_43_Avenue
3015,21_Street_&_43_Avenue
3754,21_Street_&_38_Avenue
3702,Meadows_Transit_Centre
3505,Tamarack_Road_&_Maple_Road
3766,8_Street_&_Maple_Road
3979,Maple_Road_&_Maple_Way
33002,Maple_Way_&_Maple_Road
33000,Maple_Way_&_39_Avenue
33004,Maple_Way_&_42_Avenue
3948,6_Street_&_Maple_Way
3835,Maple_Way_&_Maple_Road
3773,Maple_Way_&_Maple_Road
