507 Tamarack, 56 Stops
2212,Southgate_Transit_Centre
2085,110_Street_&_51_Avenue
2817,108_Street_&_51_Avenue
2175,106_Street_&_51_Avenue
2558,105_Street_&_51_Avenue
2543,104_Street_&_51_Avenue
2337,Calgary_Trail_SB_&_51_Avenue
2378,Gateway_Boulevard_&_51_Avenue
2917,Gateway_Boulevard_&_51_Avenue
2270,99_Street_&_51_Avenue
2063,97_Street_&_51_Avenue
2220,94_Street_&_51_Avenue
2347,93_Street_&_51_Avenue
2281,89_Street_&_51_Avenue
2197,88_Street_&_51_Avenue
2332,87_Street_&_51_Avenue
2024,86_Street_&_51_Avenue
2112,Millgate_TC_on_86_Street_Bay
3281,76_Street_&_Millbourne_Road_W
3332,76_Street_&_41_Avenue
3451,76_Street_&_40_Avenue
3534,76_Street_&_38_Avenue
3386,Millbourne_Road_E_&_38_Avenue
3380,68_Street_&_38_Avenue
3288,66_Street_&_38_Avenue
3328,62_Street_&_38_Avenue
3325,62_Street_&_Grand_Meadow_Crescent
3320,Granlea_Crescent_E_Ent_&_40_Avenue
3597,57_Street_&_40_Avenue
34667,55_Street_&_40_Avenue
3415,50_Street_&_40_Avenue
3230,49_Street_&_44_Avenue
3276,Jackson_Road_&_44_Avenue
3367,44_Street_&_43_Avenue
3274,44_Street_&_41_Avenue
3521,44_Street_&_Kulawy_Gate
3797,44_Street_&_39_Avenue
3748,44_Street_&_38_Avenue
3225,41_Street_&_38_Avenue
3420,Kaasa_Road_&_38_Avenue
3564,34_Street_&_38_Avenue
3520,31_Street_&_38_Avenue
3793,30_Street_&_37_Avenue
3195,28_Street_&_37_Avenue
3695,24_Street_&_37_Avenue
3400,23_Street_&_37_Avenue
3416,21_Street_&_37_Avenue
3186,17_Street_&_Tamarack_Gate
3863,17_Street_&_Maple_Road
3713,Meadows_Transit_Centre
3611,Tamarack_Road_&_Maple_Road
3308,Tamarack_Road_&_37_Avenue
3602,Tamarack_Road_&_36_Avenue
3603,14_Street_&_Tamarack_Green
3605,12_Street_&_Tamarack_Green
3691,Tamarack_Green_&_35_Avenue
