508 Meadows, 30 Stops
3917,Mill_Woods_Transit_Centre
3122,Hewes_Way_&_27_Avenue
3243,55_Street_&_28_Avenue
3014,50_Street_&_28_Avenue
3226,50_Street_&_28_Avenue
3223,48_Street_&_28_Avenue
3470,48_Street_&_31_Avenue
3437,48_Street_&_32_Avenue
3594,48_Street_&_35_Avenue
3484,46_Street_&_36_Avenue
3529,Mill_Woods_Road_E_&_36_Avenue
3477,42_Street_&_36_Avenue
3587,37_Street_&_36_Avenue
3570,37_Street_&_34_Avenue
3346,37_Street_&_34_Avenue
3663,34_Street_&_34_Avenue
3255,34_Street_&_35_Avenue
3019,31_Street_&_34_Avenue
3654,31_Street_&_34_Avenue
3612,28_Street_&_34_Avenue
3961,25_Street_&_34_Avenue
3968,Wildwood_Point_&_34_Avenue
3315,19_Street_&_34_Avenue
3851,19_Street_&_35_Avenue
3408,19_Street_&_37_Avenue
3125,17_Street_&_Tamarack_Gate
3192,Tamarack_Road_&_37_Avenue
3193,Tamarack_Road_&_37_Avenue
3506,Tamarack_Way_&_Maple_Road
3704,Meadows_Transit_Centre
