509 A_Ridgewood, 46 Stops
3915,Mill_Woods_Transit_Centre
3122,Hewes_Way_&_27_Avenue
3264,67_Street_&_28_Avenue
3010,Lakewood_3010
3531,Mill_Woods_Road_&_29_Avenue
3224,Mill_Woods_Road_&_Lakewood_Road_N
3479,Mill_Woods_Road_&_34_Avenue
3228,Mill_Woods_Road_&_Millbourne_Road_E
3352,Mill_Woods_Road_&_37_Avenue
3659,Mill_Woods_Road_&_38_Avenue
3534,76_Street_&_38_Avenue
3386,Millbourne_Road_E_&_38_Avenue
3380,68_Street_&_38_Avenue
3288,66_Street_&_38_Avenue
3769,Woodvale_Road_W_&_38_Avenue
3454,Grand_Meadow_Crescent_&_38_Avenue
3253,57_Street_&_38_Avenue
3295,Woodvale_Road_E_&_38_Avenue
3280,50_Street_&_38_Avenue
3299,Mill_Woods_Road_E_&_38_Avenue
3383,Mill_Woods_Road_E_&_36_Avenue
3552,Mill_Woods_Road_E_&_34_Avenue
3246,Mill_Woods_Road_E_&_32_Avenue
3364,Mill_Woods_Road_E_&_29_Avenue
3542,Mill_Woods_Road_E_&_26_Avenue
3556,Mill_Woods_Road_E_&_23_Avenue
3154,Mill_Woods_Road_E_&_20_Avenue
3152,Mill_Woods_Road_E_&_18_Avenue
3150,Mill_Woods_Road_E_&_17_Avenue
3148,Mill_Woods_Road_E_&_16_Avenue
3146,42_Street_&_Mill_Woods_Road_S
3144,46_Street_&_Mill_Woods_Road_S
3142,48_Street_&_Mill_Woods_Road_S
3140,50_Street_&_Mill_Woods_Road_S
3068,54_Street_&_Mill_Woods_Road_S
3066,62_Street_&_Mill_Woods_Road_S
3064,66_Street_&_Mill_Woods_Road_S
3047,Knottwood_Road_E_&_Mill_Woods_Road_S
3049,74_Street_&_Mill_Woods_Road_S
3051,80_Street_&_Mill_Woods_Road_S
3024,Mill_Woods_Road_&_Knottwood_Road_N
3022,Mill_Woods_Road_&_23_Avenue
3330,Mill_Woods_Road_&_Lakewood_Road_S
3006,Lakewood_3006
3599,67_Street_&_28_Avenue
3915,Mill_Woods_Transit_Centre
