509 B_Southwood, 47 Stops
3916,Mill_Woods_Transit_Centre
3122,Hewes_Way_&_27_Avenue
3264,67_Street_&_28_Avenue
3011,Lakewood_3011
3365,Mill_Woods_Road_&_Lakewood_Road_S
3021,Mill_Woods_Road_&_23_Avenue
3026,Mill_Woods_Road_&_Knottwood_Road_N
3052,80_Street_&_Mill_Woods_Road_S
3050,74_Street_&_Mill_Woods_Road_S
3061,Knottwood_Road_E_&_Mill_Woods_Road_S
3095,66_Street_&_Mill_Woods_Road_S
3063,62_Street_&_Mill_Woods_Road_S
3139,54_Street_&_Mill_Woods_Road_S
3141,50_Street_&_Mill_Woods_Road_S
3145,48_Street_&_Mill_Woods_Road_S
3147,46_Street_&_Mill_Woods_Road_S
3149,42_Street_&_Mill_Woods_Road_S
3151,Mill_Woods_Road_E_&_16_Avenue
3153,Mill_Woods_Road_E_&_17_Avenue
3155,Mill_Woods_Road_E_&_18_Avenue
3356,Mill_Woods_Road_E_&_20_Avenue
3385,Mill_Woods_Road_E_&_21_Avenue
3349,Mill_Woods_Road_E_&_23_Avenue
3292,Mill_Woods_Road_E_&_26_Avenue
3321,Mill_Woods_Road_E_&_29_Avenue
3457,Mill_Woods_Road_E_&_33_Avenue
3358,Mill_Woods_Road_E_&_34_Avenue
3585,Mill_Woods_Road_E_&_36_Avenue
3266,Mill_Woods_Road_E_&_38_Avenue
3496,47_Street_&_38_Avenue
3363,50_Street_&_38_Avenue
3581,55_Street_&_38_Avenue
3555,57_Street_&_38_Avenue
3571,Grand_Meadow_Crescent_&_38_Avenue
3461,62_Street_&_38_Avenue
33352,66_Street_&_38_Avenue
3231,66_Street_&_38_Avenue
3442,Millbourne_Road_E_&_38_Avenue
3499,76_Street_&_38_Avenue
3345,Mill_Woods_Road_&_37_Avenue
3291,Mill_Woods_Road_&_36_Avenue
3371,Mill_Woods_Road_&_34_Avenue
3474,Mill_Woods_Road_&_Lakewood_Road_N
3433,Mill_Woods_Road_&_29_Avenue
3006,Lakewood_3006
3599,67_Street_&_28_Avenue
3916,Mill_Woods_Transit_Centre
