512 South_Edm_Common, 39 Stops
3912,Mill_Woods_Transit_Centre
3122,Hewes_Way_&_27_Avenue
3264,67_Street_&_28_Avenue
3007,Lakewood_3007
3229,79_Street_&_28_Avenue
3528,Lakewood_Road_W_&_28_Avenue
3404,91_Street_&_28_Avenue
3111,92_Street_&_28_Avenue
3410,96_Street_&_28_Avenue
3625,Parsons_Road_&_28_Avenue
3405,Parsons_Road_&_25_Avenue
3427,Parsons_Road_&_23_Avenue
3440,Parsons_Road_&_21_Avenue
3642,99_Street_&_21_Avenue
3760,99_Street_&_20_Avenue
3664,99_Street_&_19_Avenue
3519,Parsons_Road_&_19_Avenue
3673,Parsons_Road_&_19_Avenue
3609,Parsons_Road_&_19_Avenue
3675,99_Street_&_Parsons_Road
3513,Parsons_Road_&_13_Avenue
3515,102_Street_&_13_Avenue
3100,102_Street_&_15_Avenue
3516,102_Street_&_17_Avenue
3776,102_Street_&_19_Avenue
3401,101_Street_&_19_Avenue
3774,99_Street_&_19_Avenue
3635,99_Street_&_20_Avenue
3097,Parsons_Road_&_21_Avenue
3512,Parsons_Road_&_25_Avenue
3510,Parsons_Road_&_28_Avenue
3414,96_Street_&_28_Avenue
3115,92_Street_&_28_Avenue
3339,91_Street_&_28_Avenue
3350,Lakewood_Road_W_&_28_Avenue
3592,79_Street_&_28_Avenue
3004,Lakewood_3004
3599,67_Street_&_28_Avenue
3912,Mill_Woods_Transit_Centre
