513 Knottwood, 29 Stops
3911,Mill_Woods_Transit_Centre
3122,Hewes_Way_&_27_Avenue
3264,67_Street_&_28_Avenue
3009,Lakewood_3009
3365,Mill_Woods_Road_&_Lakewood_Road_S
3021,Mill_Woods_Road_&_23_Avenue
3023,Mill_Woods_Road_&_Knottwood_Road_N
3025,78_Street_&_Knottwood_Road_N
3027,82_Street_&_Knottwood_Road_N
3029,85_Street_&_Knottwood_Road_N
3031,Knottwood_Road_W_&_19_Avenue
3033,Knottwood_Road_W_&_16_Avenue
3035,88_Street_&_Knottwood_Road_S
3037,82_Street_&_Knottwood_Road_S
3039,80_Street_&_Knottwood_Road_S
3041,77_Street_&_Knottwood_Road_S
3043,75_Street_&_Knottwood_Road_S
3045,Knottwood_Road_E_&_12_Avenue
3062,Knottwood_Road_E_&_Mill_Woods_Road_S
3060,Knottwood_Road_E_&_17_Avenue
3058,Knottwood_Road_E_&_19_Avenue
3056,72_Street_&_Knottwood_Road_N
3054,74_Street_&_Knottwood_Road_N
3024,Mill_Woods_Road_&_Knottwood_Road_N
3022,Mill_Woods_Road_&_23_Avenue
3330,Mill_Woods_Road_&_Lakewood_Road_S
3006,Lakewood_3006
3599,67_Street_&_28_Avenue
3911,Mill_Woods_Transit_Centre
