515 Mill_Woods, 31 Stops
3703,Meadows_Transit_Centre
3958,17_Street_&_Tamarack_Way
3749,17_Street_&_38_Avenue
3615,17_Street_&_37_Avenue
3509,17_Street_&_34_Avenue
3614,18_Street_&_Silver_Berry_Road
3950,21_Street_&_Silver_Berry_Road
3947,23_Street_&_Silver_Berry_Road
3750,Silver_Berry_Road_&_32_Avenue
3975,Silver_Berry_Road_E_&_28_Avenue
3869,24_Street_&_Silver_Berry_Road
3862,24_Street_&_Silver_Berry_Road
3312,32_Street_&_Silver_Berry_Road
3741,Silver_Berry_Road_&_28_Avenue
3106,Silver_Berry_Road_&_30_Avenue
3779,Silver_Berry_Road_&_33_Avenue
3857,34_Street_&_Silver_Berry_Road
3423,34_Street_&_34_Avenue
3591,37_Street_&_33_Avenue
3495,37_Street_&_30_Avenue
3544,37_Street_&_28_Avenue
3425,38_Street_&_26_Avenue
3551,39_Street_&_26_Avenue
3525,41_Street_&_26_Avenue
3444,Mill_Woods_Road_E_&_26_Avenue
3278,48_Street_&_26_Avenue
3467,48_Street_&_28_Avenue
3533,50_Street_&_28_Avenue
3550,Youville_Drive_E_&_28_Avenue
3121,Hewes_Way_&_28_Avenue
3908,Mill_Woods_Transit_Centre
