517 Southwood, 28 Stops
3906,Mill_Woods_Transit_Centre
3092,66_Street_&_23_Avenue
3090,58_Street_&_23_Avenue
3670,Hewes_Way_&_23_Avenue
3194,50_Street_&_23_Avenue
3189,47_Street_&_23_Avenue
3556,Mill_Woods_Road_E_&_23_Avenue
3157,Mill_Woods_Road_E_&_20_Avenue
3159,47_Street_&_20_Avenue
3161,48_Street_&_19_Avenue
3163,48_Street_&_17_Avenue
3143,48_Street_&_Mill_Woods_Road_S
3165,48_Street_&_13_Avenue
3167,45_Street_&_12_Avenue
3169,41_Street_&_12_Avenue
3171,38_Street_&_12_Avenue
3173,37_Street_&_12_Avenue
3175,37_Street_&_16_Avenue
3177,37_Street_&_18_Avenue
3179,38_Street_&_20_Avenue
3181,41_Street_&_20_Avenue
3356,Mill_Woods_Road_E_&_20_Avenue
3385,Mill_Woods_Road_E_&_21_Avenue
3020,Mill_Woods_Road_E_&_23_Avenue
3196,47_Street_&_23_Avenue
3190,50_Street_&_23_Avenue
3126,Hewes_Way_&_23_Avenue
3906,Mill_Woods_Transit_Centre
