521 Mill_Woods, 43 Stops
4215,Century_Park_Transit_Centre
4477,111_Street_&_Saddleback_Road_S_Ent
4105,111_Street_&_12_Avenue
4790,111_Street_&_9_Avenue
9762,111_Street_&_MacEwan_Road
9022,James_Mowatt_Trail_&_Ellerslie_Road
9570,Blackmud_Creek_Drive_&_Ellerslie_Road
9358,105_Street_&_Ellerslie_Road
9364,103_Street_&_Ellerslie_Road
9051,101_Street_&_Ellerslie_Road
9112,Parsons_Road_&_Ellerslie_Road
9862,98_Street_&_Parsons_Road
9141,95_Street_&_Parsons_Road
9389,91_Street_&_Parsons_Road
9108,91_Street_&_Savaryn_Drive
9115,Summerside_Link_&_Savaryn_Drive
9106,90_Street_&_Savaryn_Drive
9850,Orchard_Gate_&_25_Avenue
9350,Orchard_Gate_&_Orchard_Drive
9375,Crabapple_Run_&_Orchard_Drive
9463,Crabapple_Crescent_&_Orchards_Drive
9342,Orchards_Boulevard_&_Orchards_Drive
9521,Orchards_Link_&_Orchards_Boulevard
99049,Chokecherry_Common_&_Orchards_Boulevard
99046,Orchards_Way_&_Chokecherry_Lane
99044,Orchards_Way_&_25_Avenue
99179,66_Street_&_25_Avenue
9807,Watt_Drive_&_25_Avenue
9311,Watt_Drive_&_Weidle_Crescent
9335,Wonnacott_Way_&_Watt_Drive
9430,Watt_Promenade_&_Watt_Drive
9812,57_Street_&_Watt_Drive
99102,Watt_Drive_&_22_Avenue
99036,52_Street_&_22_Avenue
9804,50_Street_&_Watt_Common
9467,50_Street_&_Ellerslie_Road
9465,50_Street_&_Ivor_Dent_Park_Road
3790,50_Street_&_13_Avenue
3795,50_Street_&_Mill_Woods_Road_South
3822,50_Street_&_19_Avenue
3190,50_Street_&_23_Avenue
3126,Hewes_Way_&_23_Avenue
3903,Mill_Woods_Transit_Centre
