527 Millbourne, 37 Stops
3910,Mill_Woods_Transit_Centre
3122,Hewes_Way_&_27_Avenue
3243,55_Street_&_28_Avenue
3794,50_Street_&_28_Avenue
3629,50_Street_&_31_Avenue
3103,50_Street_&_34_Avenue
3363,50_Street_&_38_Avenue
3537,Woodvale_Road_E_&_38_Avenue
3232,Woodvale_Road_E_&_35_Avenue
3471,60_Street_&_Woodvale_Road_W
3341,Woodvale_Road_W_&_34_Avenue
3258,Woodvale_Road_W_&_35_Avenue
3373,Woodvale_Road_W_&_37_Avenue
3461,62_Street_&_38_Avenue
33352,66_Street_&_38_Avenue
3231,66_Street_&_38_Avenue
3359,Millbourne_Road_E_&_38_Avenue
3566,Millbourne_Road_E_&_40_Avenue
3342,Millbourne_Road_E_&_41_Avenue
3493,70_Street_&_Millbourne_Road_E
3279,76_Street_&_Millbourne_Road_W
3269,79_Street_&_Millbourne_Road_W
3481,Millbourne_Road_W_&_42_Avenue
3569,Millbourne_Road_W_&_40_Avenue
3240,85_Street_&_Mill_Woods_Road
3575,85_Street_&_Richfield_Road
3391,85_Street_&_36_Avenue
3322,84_Street_&_36_Avenue
3336,79_Street_&_36_Avenue
3256,78_Street_&_36_Avenue
3296,Mill_Woods_Road_&_Millbourne_Road_E
3337,Millbourne_Road_E_&_Lee_Ridge_Road_S
3378,71_Street_&_Millbourne_Road_E
3589,Millbourne_Road_E_&_36_Avenue
3386,Millbourne_Road_E_&_38_Avenue
3380,68_Street_&_38_Avenue
3288,66_Street_&_38_Avenue
