5 Coliseum, 52 Stops
5210,Westmount_Transit_Centre
5466,135_Street_&_114_Avenue
5391,135_Street_&_114_Avenue
1907,Groat_Road_&_114_Avenue
1078,St_Albert_Trail_&_114_Avenue
1888,127_Street_&_114_Avenue
1269,124_Street_&_114_Avenue
1445,124_Street_&_113_Avenue
1481,124_Street_&_111_Avenue
1382,124_Street_&_109_Avenue
1134,124_Street_&_107_Avenue
1569,124_Street_&_106_Avenue
1240,124_Street_&_Stony_Plain_Road
1047,124_Street_&_103_Avenue
1242,124_Street_&_102_Avenue
1127,123_Street_&_Jasper_Avenue
1077,121_Street_&_Jasper_Avenue
1392,119_Street_&_Jasper_Avenue
1575,115_Street_&_Jasper_Avenue
1466,112_Street_&_Jasper_Avenue
1083,109_Street_&_Jasper_Avenue
1035,107_Street_&_Jasper_Avenue
1271,105_Street_&_Jasper_Avenue
1322,103_Street_&_Jasper_Avenue
1336,101_Street_&_Jasper_Avenue
1256,Thornton_Court_&_Jasper_Avenue
1196,97_Street_&_Jasper_Avenue
1393,96_Street_&_Jasper_Avenue
1051,95_Street_&_102_Avenue
1247,95_Street_&_103_Avenue
1335,95_Street_&_105_Avenue
1563,95_Street_&_106_Avenue
1132,95_Street_&_107_Avenue
1344,95_Street_&_107_Avenue
1169,95_Street_&_108_Avenue
1453,95_Street_&_109_Avenue
1895,95_Street_&_110_Avenue
1268,95_Street_&_111_Avenue
1189,95_Street_&_113_Avenue
1537,95_Street_&_114_Avenue
1056,95_Street_&_115_Avenue
1539,95_Street_&_116_Avenue
1138,95_Street_&_117_Avenue
1320,95_Street_&_118_Avenue
1538,93_Street_&_118_Avenue
1027,90_Street_&_118_Avenue
1172,89_Street_&_118_Avenue
1325,87_Street_&_118_Avenue
1025,84_Street_&_118_Avenue
1235,82_Street_&_118_Avenue
1044,80_Street_&_118_Avenue
1202,Coliseum_Transit_Centre
