701 Kingsway_Rah, 44 Stops
2214,Southgate_Transit_Centre
2085,110_Street_&_51_Avenue
2817,108_Street_&_51_Avenue
28355,106_Street_&_51_Avenue
28356,106_Street_&_53_Avenue
2879,106_Street_&_56_Avenue
2887,106_Street_&_60_Avenue
2696,106_Street_&_62_Avenue
2741,106_Street_&_63_Avenue
2838,106_Street_&_66_Avenue
2739,106_Street_&_67_Avenue
2847,106_Street_&_69_Avenue
2778,106_Street_&_71_Avenue
2731,106_Street_&_73_Avenue
2897,106_Street_&_76_Avenue
22721,105_Street_&_76_Avenue
22726,104_Street_&_77_Avenue
2839,104_Street_&_79_Avenue
2632,104_Street_&_82_Avenue
2796,104_Street_&_84_Avenue
2675,104_Street_&_86_Avenue
2866,104_Street_&_Saskatchewan_Drive
2290,Walterdale_Hill_&_Queen_Elizabeth_Park_Road
1728,106_Street_&_96_Avenue
1991,107_Street_&_97_Avenue
1301,Government_Transit_Centre
1794,107_Street_&_99_Avenue
1711,107_Street_&_100_Avenue
1035,107_Street_&_Jasper_Avenue
1271,105_Street_&_Jasper_Avenue
1322,103_Street_&_Jasper_Avenue
1346,101_Street_&_101_Avenue
1570,101_Street_&_103_Avenue
1123,99_Street_&_103_Avenue
1479,97_Street_&_103_Avenue
1581,97_Street_&_105_Avenue
1167,97_Street_&_106_Avenue
1193,97_Street_&_107_Avenue
1295,97_Street_&_108_Avenue
1363,97_Street_&_109_Avenue
1181,97_Street_&_110_Avenue
1553,101_Street_&_111_Avenue
1032,102_Street_&_111_Avenue
1108,Kingsway_RAH_Transit_Centre
