716 Leger, 30 Stops
4207,Century_Park_Transit_Centre
4224,111_Street_&_23_Avenue
4593,Saddleback_Road_&_23_Avenue
4065,118_Street_&_23_Avenue
4838,119_Street_&_23_Avenue
4758,Hodgson_Way_&_23_Avenue
4114,Rabbit_Hill_Road_&_23_Avenue
4087,Rabbit_Hill_Road_&_Tory_Gate
4119,Rabbit_Hill_Road_&_Magrath_Boulevard
4643,Rabbit_Hill_Road_&_Terwillegar_Boulevard
4866,Rabbit_Hill_Road_&_Sandin_Way
4503,Rabbit_Hill_Road_&_MacTaggart_Drive
4875,Singer_Gate_&_Rabbit_Hill_Road
4237,South_Terwillegar_Drive_E_&_Rabbit_Hill_Road
4654,Rabbit_Hill_Road_&_South_Terwillegar_Drive_S
9635,Allan_Drive_&_Windermere_Boulevard
9634,156_Street_&_Windermere_Boulevard
9860,Currents_Drive_&_Windermer_Boulevard
9799,Currents_Drive_&_Windermere_Boulevard
9248,6056_Currents_Drive_E
9252,6110_Currents_Drive_E
9255,6142_Currents_Drive_W
9256,6004_Currents_Drive_W
9449,Ambleside_Drive_&_Windermere_Boulevard
4675,Tomlinson_Common_&_18_Avenue
4722,Tomlinson_Common_&_Tomlinson_Way
4550,Tomlinson_Way_&_Tomlinson_Link
4297,Tomlinson_Way_&_Towne_Centre_Boulevard
4483,Towne_Centre_Boulevard_&_23_Avenue
4802,Leger_Transit_Centre
