719 Century_Park, 39 Stops
9273,141_Street_&_28_Avenue
9274,Chappelle_Boulevard_&_28_Avenue
9275,Chappelle_Boulevard_&_Carey_Way
9276,Chappelle_Boulevard_&_Chapman_Road
9073,Chapman_Way_&_Chappelle_Boulevard
99032,Calhoun_Link_&_Chappelle_Boulevard
99033,Chappelle_Green_&_Chappelle_Boulevard
99034,Chappelle_Green_&_Cooke_Lane
99041,Chappelle_Green_&_Chappelle_Way
9605,Carson_Way_&_Chappelle_Way
9751,Chappelle_Way_&_Chappelle_Road
9285,Chappelle_Drive_&_Claxton_Loop
9270,Chappelle_Drive_&_Claxton_Crescent
9271,Charles_Link_&_Chappelle_Drive
9272,141_Street_&_Chappelle_Drive
9329,141_Street_&_Chappelle_Drive
9282,141_Street_&_28_Avenue
9283,141_Street_&_Hays_Ridge_Boulevard
9759,141_Street_&_Paisley_Road
9284,141_Street_&_Parker_Gate
9452,141_Street_&_Ellerslie_Road
9797,Graydon_Hill_Boulevard_&_Ellerslie_Road
99516,Heritage_Valley_Trail_&_Ellerslie_Road
99514,127_Street_&_Ellerslie_Road
9690,MacEwan_Road_&_McPhadden_Way
9066,MacEwan_Road_&_Marion_Place
9247,MacEwan_Road_&_Melrose_Crescent
9527,McMillian_Way_&_MacEwan_Road
9133,119_Street_&_MacEwan_Road
9410,McAllister_Loop_&_MacEwan_Road
9048,McMullen_Way_&_MacEwan_Road
9685,McMullen_Green_&_MacEwan_Road
9259,111_Street_&_Blackburn_Drive
4106,111_Street_&_9_Avenue
4864,111_Street_&_12_Avenue
4440,111_Street_&_19_Avenue
4961,111_Street_&_19_Avenue
4548,111_Street_&_23_Avenue
4212,Century_Park_Transit_Centre
