722 Callaghan, 30 Stops
4205,Century_Park_Transit_Centre
4477,111_Street_&_Saddleback_Road_S_Ent
4105,111_Street_&_12_Avenue
4790,111_Street_&_9_Avenue
9762,111_Street_&_MacEwan_Road
9728,111_Street_&_Ellerslie_Road
9788,James_Mowatt_Trail_&_Ellerslie_Road
9043,James_Mowatt_Trl_&_Rutherford_Road
9542,113_Street_&_Rutherford_Road
9697,Rutherford_Road_&_13_Avenue
9172,Rutherford_Road_E_&_15_Avenue
9173,Rutherford_Road_E_&_17_Avenue
9164,Callaghan_Drive_&_Callaghan_Close
9160,Callaghan_Drive_&_Callaghan_Court
9714,Callaghan_Drive_&_Cantor_Landing
9832,Cunningham_Way_&_Cunningham_Drive
9836,Cunningham_Way_&_Cunningham_Way
9775,Casselman_Link_&_Casselman_Crescent
9846,Alexander_Crescent_&_Allard_Boulevard
9301,Allard_Boulevard_&_Alexander_Way
9760,Alwood_Bend_&_Allard_Boulevard
9790,Anthony_Crescent_&_Allard_Boulevard
99208,Allard_Road_&_Allard_Boulevard
9793,Allard_Boulevard_&_Adamson_Drive
9217,Allard_Boulevard_&_Ashcraft_Crescent
9195,Allard_Link_&_Allard_Boulevard
9196,Allard_Link_&_Ashcraft_Cape
9704,Allard_Link_&_Adamson_Drive
9723,Cunningham_Drive_&_30_Avenue
9772,Casselman_Link_&_30_Avenue
