723 University, 17 Stops
2795,112_Street_&_65_Avenue
28861,111_Street_&_65_Avenue
2745,109_Street_&_65_Avenue
2755,109_Street_&_67_Avenue
2720,109_Street_&_70_Avenue
2886,109_Street_&_72_Avenue
2854,109_Street_&_74_Avenue
2861,109_Street_&_76_Avenue
22735,109_Street_&_78_Avenue
2689,109_Street_&_82_Avenue
2733,111_Street_&_82_Avenue
2752,112_Street_&_82_Avenue
2982,114_Street_&_83_Avenue
2638,114_Street_&_85_Avenue
2625,114_Street_&_87_Avenue
2890,114_Street_&_89_Avenue
2001,University_Transit_Centre
