724 South_Campus, 51 Stops
4805,Leger_Transit_Centre
4525,2019_Leger_Road
4633,Rec_Centre_South_Entrance_&_Leger_Road
4634,Rec_Centre_North_Entrance_&_Leger_Road
4635,Leger_Way_&_Leger_Road
4689,Leger_Way_&_Leger_Road
4003,Leger_Way_&_Leger_Boulevard
4639,Lindsay_Crescent_&_Leger_Boulevard
4626,Lindsay_Crescent_&_Leger_Boulevard
4646,Rabbit_Hill_Road_&_Leger_Boulevard
4312,Rabbit_Hill_Road_&_Hodgson_Boulevard
4011,Hodgson_Road_&_Hodgson_Boulevard
4308,Hodgson_Boulevard_&_Hilliard_Green
4325,Ogilvie_Boulevard_&_Hodgson_Boulevard
4172,Ogilvie_Boulevard_&_Osland_Drive
4280,Ogilvie_Boulevard_&_Omand_Drive
4421,Ogilvie_Boulevard_&_Ower_Place
4250,Ogilvie_Boulevard_&_Rabbit_Hill_Road
4489,Oeming_Road_&_Oakes_Gate
4424,Bulyea_Road_&_Oeming_Road
4284,Bulyea_Road_&_Burley_Drive_S
4488,Bulyea_Road_&_Burley_Road_N
4426,301_Bulyea_Road
4069,Bulyea_Road_&_Burton_Road_S
4165,Burton_Road_&_Butchart_Drive
4585,275_Burton_Road_South
4383,317_Burton_Road_South
4292,Butterworth_Way_&_Burton_Road
4542,Burton_Road_&_Burrows_Crescent
4334,475_Burton_Road_West
4246,Bulyea_Road_&_Burton_Road_N
4193,Rhatigan_Road_E_&_40_Avenue
4268,Riverbend_Road_&_40_Avenue
4538,Riverbend_Road_&_43_Avenue
4221,Riverbend_Road_&_44_Avenue
4181,Riverbend_Road_&_45_Avenue
4363,Riverbend_Road_&_48_Avenue
4295,Riverbend_Road_&_51_Avenue
4022,Riverbend_Road_&_53_Avenue
44157,148_Street_&_58_Avenue
44158,148_Street_&_59_Avenue
40244,Riverbend_Road_&_Brander_Drive
4027,Riverbend_Road_&_56_Avenue
4028,Riverbend_Road_&_53_Avenue
4029,Riverbend_Road_&_53_Avenue
4153,Whitemud_Drive_NB_&_53_Avenue
4425,Fort_Edmonton_Park_Road_&_Fox_Drive
22162,Belgravia_Road_&_Fox_Drive
2978,116_Street_&_Belgravia_Road
22159,116_Street_&_68_Avenue
2714,South_Campus_Fort_Edmonton_Transit_Centre
