905 Northgate, 44 Stops
5206,Westmount_Transit_Centre
5392,136_Street_&_111_Avenue
5141,140_Street_&_111_Avenue
5164,142_Street_&_111_Avenue
5456,142_Street_&_114_Avenue
5428,142_Street_&_115_Avenue
5160,142_Street_&_116_Avenue
5572,142_Street_&_118_Avenue
5498,142_Street_&_121_Avenue
5215,142_Street_&_123_Avenue
5309,145_Street_&_123_Avenue
55118,149_Street_&_123_Avenue
55119,152_Street_&_123_Avenue
5039,154_Street_&_123_Avenue
5504,156_Street_&_123_Avenue
6702,156_Street_&_128_Avenue
66099,153_Street_&_128_Avenue
66098,151_Street_&_128_Avenue
66102,149_Street_&_128_Avenue
6451,148_Street_&_128_Avenue
6332,148_Street_&_129_Avenue
66093,149_Street_&_131_Avenue
6765,151_Street_&_131_Avenue
66105,153_Street_&_131_Avenue
6645,156_Street_&_131_Avenue
6859,156_Street_&_135_Avenue
6774,156_Street_&_137_Avenue
6476,149_Street_&_137_Avenue
6532,Mistatim_Road_&_137_Avenue
6608,St_Albert_Trail_&_137_Avenue
6240,140_Street_&_137_Avenue
6244,135_Street_&_137_Avenue
6218,132_Street_&_137_Avenue
6248,131_Street_&_137_Avenue
6467,127_Street_&_137_Avenue
6444,123_Street_&_137_Avenue
6257,119_Street_&_137_Avenue
6653,116_Street_&_137_Avenue
6169,113_Street_&_137_Avenue
6560,111_Street_&_137_Avenue
6158,108_Street_&_137_Avenue
6437,104_Street_&_137_Avenue
6141,102_Street_&_137_Avenue
7016,Northgate_Transit_Centre
