907 West_Edm_Mall, 46 Stops
5208,Westmount_Transit_Centre
5466,135_Street_&_114_Avenue
5391,135_Street_&_114_Avenue
1761,Groat_Road_&_116_Avenue
5026,133_Street_&_118_Avenue
5338,135_Street_&_118_Avenue
5184,139_Street_&_118_Avenue
5092,141_Street_&_118_Avenue
5143,142_Street_&_118_Avenue
5137,145_Street_&_118_Avenue
5286,147_Street_&_118_Avenue
5357,149_Street_&_118_Avenue
5078,152_Street_&_118_Avenue
5389,154_Street_&_118_Avenue
5553,156_Street_&_118_Avenue
5032,160_Street_&_118_Avenue
5053,163_Street_&_118_Avenue
5333,167_Street_&_118_Avenue
5119,168_Street_&_118_Avenue
8212,170_Street_&_118_Avenue
8365,173_Street_&_118_Avenue
8512,178_Street_&_118_Avenue
8303,178_Street_&_116_Avenue_nearside
8418,178_Street_&_116_Avenue
8514,178_Street_&_114_Avenue
8222,178_Street_&_111_Avenue
8120,178_Street_&_110_Avenue
8128,178_Street_&_109_Avenue
8952,178_Street_&_107_Avenue
8890,178_Street_&_106_Avenue
8765,178_Street_&_105_Avenue
8838,178_Street_&_103_Avenue
8507,178_Street_&_102_Avenue
8953,175_Street_&_Stony_Plain_Road
5845,175_Street_&_Stony_Plain_Road
5641,175_Street_&_100_Avenue
5694,175_Street_&_99_Avenue
5846,172_Street_&_99_Avenue
5883,172_Street_&_97_Avenue
5947,172_Street_&_95_Avenue
5538,172_Street_&_95_Avenue
5016,174_Street_&_95_Avenue
5555,175_Street_&_95_Avenue
5094,176_Street_&_95_Avenue
5377,178_Street_&_95_Avenue
5212,West_Edmonton_Mall_Transit_Centre
