910 South_Campus_Express, 31 Stops
5778,178_Street_&_69_Avenue
5834,180_Street_&_69_Avenue
55490,Willow_Court_&_69_Avenue
5830,188_Street_&_Ormsby_Road_West_N_Ent
5608,482_Ormsby_Road_West
5710,Ormsby_Road_W_&_Ormsby_Lane
5831,790_Ormsby_Road_W
5828,188_Street_&_Ormsby_Road_West
5718,188_Street_&_Callingwood_Road
5419,184_Street_&_Callingwood_Road
5673,184_Street_&_60_Avenue
5623,184_Street_&_57_Avenue
5681,182_Street_&_57_Avenue
5602,Dechene_Road_&_57_Avenue
5865,179_Street_&_57_Avenue
5932,Lessard_Road_&_57_Avenue
5739,175_Street_&_57_Avenue
5622,Lessard_Drive_&_57_Avenue
5797,172_Street_&_Gariepy_Crescent
5733,172_Street_&_Callingwood_Road
5650,172_Street_&_63_Avenue
5900,172_Street_&_64_Avenue
5757,172_Street_&_67_Avenue
5657,172_Street_&_69_Avenue
5676,173_Street_&_69_Avenue
5980,177_Street_&_69_Avenue
5986,178_Street_&_69_Avenue
5854,178_Street_&_74_Avenue
5821,178_Street_&_76_Avenue
22159,116_Street_&_68_Avenue
2714,South_Campus_Fort_Edmonton_Transit_Centre
