913 Jamieson_Pl, 48 Stops
5212,West_Edmonton_Mall_Transit_Centre
5381,178_Street_&_89_Avenue
5653,178_Street_&_87_Avenue
5843,178_Street_&_85_Avenue
55071,178_Street_&_84_Avenue
5628,178_Street_&_81_Avenue
5881,178_Street_&_Whitemud_Drive
5979,178_Street_&_76_Avenue
5667,178_Street_&_74_Avenue
5870,178_Street_&_71_Avenue
5699,178_Street_&_69_Avenue
5996,178_Street_&_64_Avenue
5919,178_Street_&_63_Avenue
5809,178_Street_&_Callingwood_Road
5813,178_Street_&_59_Avenue
5634,Lessard_Road_&_57_Avenue
5839,Lessard_Road_&_Dechene_Way
5089,Dechene_Way_&_Lessard_Road
5815,Dalhousie_Way_&_Lessard_Road
5663,184_Street_&_Lessard_Road
5018,184_Street_&_Lessard_Road
5017,188_Street_&_Lessard_Road
5715,187_Street_&_49_Avenue
5802,186_Street_&_50_Avenue
5908,187_Street_&_52_Avenue
5726,190_Street_&_52_Avenue
5985,190_Street_&_53_Avenue
5862,190_Street_&_56_Avenue
5907,188_Street_&_57_Avenue
5984,186_Street_&_57_Avenue
5623,184_Street_&_57_Avenue
5681,182_Street_&_57_Avenue
5602,Dechene_Road_&_57_Avenue
5865,179_Street_&_57_Avenue
5775,Lessard_Road_&_57_Avenue
5636,178_Street_&_Callingwood_Road
5784,178_Street_&_64_Avenue
5963,178_Street_&_68_Avenue
5986,178_Street_&_69_Avenue
5854,178_Street_&_74_Avenue
5821,178_Street_&_76_Avenue
5749,178_Street_&_Whitemud_Drive
5923,178_Street_&_81_Avenue
5750,178_Street_&_85_Avenue
55070,178_Street_&_86_Avenue
5482,178_Street_&_87_Avenue
5690,178_Street_&_89_Avenue
5212,West_Edmonton_Mall_Transit_Centre
