914 Jasper_Place, 31 Stops
5840,West_Edmonton_Mall_Transit_Centre
5381,178_Street_&_89_Avenue
5624,182_Street_&_87_Avenue
5796,182_Street_&_86_Avenue
5992,182_Street_&_84_Avenue
5898,184_Street_&_84_Avenue
5732,187_Street_&_84_Avenue
5915,189_Street_&_85_Avenue
5871,189_Street_&_87_Avenue
5967,189_Street_&_87_Avenue
5966,189_Street_&_89_Avenue
5950,189_Street_&_91_Avenue
5874,189_Street_&_95_Avenue
5859,189_Street_&_96_Avenue
5902,187_Street_&_97_Avenue
5958,185_Street_&_97_Avenue
5530,182_Street_&_97_Avenue
5161,181_Street_&_98_Avenue
5024,180_Street_&_98_Avenue
5961,178_Street_&_98_Avenue
5975,178_Street_&_99_Avenue
5792,178_Street_&_100_Avenue
5993,175_Street_&_100_Avenue
5728,170_Street_&_100_Avenue
5597,168_Street_&_100_Avenue
5551,166_Street_&_Stony_Plain_Road
5313,164_Street_&_Stony_Plain_Road
5425,162_Street_&_Stony_Plain_Road
5600,160_Street_&_Stony_Plain_Road
5153,159_Street_&_Stony_Plain_Road
5103,Jasper_Place_Transit_Centre
