918 A_Lessard, 31 Stops
5212,West_Edmonton_Mall_Transit_Centre
5381,178_Street_&_89_Avenue
5653,178_Street_&_87_Avenue
5843,178_Street_&_85_Avenue
55071,178_Street_&_84_Avenue
5628,178_Street_&_81_Avenue
5841,178_Street_&_76_Avenue
5754,176_Street_&_76_Avenue
5659,174_Street_&_76_Avenue
5724,172_Street_&_75_Avenue
5972,172_Street_&_69_Avenue
5682,172_Street_&_67_Avenue
5640,172_Street_&_64_Avenue
5723,172_Street_&_Callingwood_Road
5971,172_Street_&_Gariepy_Crescent
5895,Lessard_Drive_&_57_Avenue
5779,175_Street_&_57_Avenue
5775,Lessard_Road_&_57_Avenue
5636,178_Street_&_Callingwood_Road
5784,178_Street_&_64_Avenue
5963,178_Street_&_68_Avenue
5986,178_Street_&_69_Avenue
5854,178_Street_&_74_Avenue
5821,178_Street_&_76_Avenue
5749,178_Street_&_Whitemud_Drive
5923,178_Street_&_81_Avenue
5750,178_Street_&_85_Avenue
55070,178_Street_&_86_Avenue
5482,178_Street_&_87_Avenue
5690,178_Street_&_89_Avenue
5212,West_Edmonton_Mall_Transit_Centre
