918 B_Lessard, 34 Stops
5212,West_Edmonton_Mall_Transit_Centre
5381,178_Street_&_89_Avenue
5653,178_Street_&_87_Avenue
5843,178_Street_&_85_Avenue
55071,178_Street_&_84_Avenue
5628,178_Street_&_81_Avenue
5881,178_Street_&_Whitemud_Drive
5979,178_Street_&_76_Avenue
5667,178_Street_&_74_Avenue
5870,178_Street_&_71_Avenue
5699,178_Street_&_69_Avenue
5996,178_Street_&_64_Avenue
5919,178_Street_&_63_Avenue
5809,178_Street_&_Callingwood_Road
5932,Lessard_Road_&_57_Avenue
5739,175_Street_&_57_Avenue
5622,Lessard_Drive_&_57_Avenue
5797,172_Street_&_Gariepy_Crescent
5733,172_Street_&_Callingwood_Road
5650,172_Street_&_63_Avenue
5900,172_Street_&_64_Avenue
5757,172_Street_&_67_Avenue
5722,172_Street_&_69_Avenue
5638,172_Street_&_75_Avenue
5671,174_Street_&_76_Avenue
5974,176_Street_&_76_Avenue
5821,178_Street_&_76_Avenue
5749,178_Street_&_Whitemud_Drive
5923,178_Street_&_81_Avenue
5750,178_Street_&_85_Avenue
55070,178_Street_&_86_Avenue
5482,178_Street_&_87_Avenue
5690,178_Street_&_89_Avenue
5212,West_Edmonton_Mall_Transit_Centre
