924 Rio_Terrace, 29 Stops
5108,Jasper_Place_Transit_Centre
5353,159_Street_&_Stony_Plain_Road
5579,161_Street_&_Stony_Plain_Road
5249,163_Street_&_Stony_Plain_Road
5465,165_Street_&_Stony_Plain_Road
55398,165_Street_&_99_Avenue
5614,165_Street_&_99_Avenue
5518,165_Street_&_97_Avenue
5292,163_Street_&_96_Avenue
5542,163_Street_&_95_Avenue
5151,165_Street_&_93_Avenue
5367,168_Street_&_93_Avenue
5274,168_Street_&_92_Avenue
5521,168_Street_&_88_Avenue
5409,165_Street_&_88_Avenue
5275,165_Street_&_87_Avenue
5566,164_Street_&_87_Avenue
5578,161_Street_&_87_Avenue
5405,Meadowlark_Road_&_87_Avenue
5601,156_Street_&_90_Avenue
5604,156_Street_&_89_Avenue
5452,156_Street_&_87_Avenue
5076,156_Street_&_84_Avenue
5589,156_Street_&_81_Avenue
5179,156_Street_&_79_Avenue
5085,156_Street_&_77_Avenue
5378,155_Street_&_76_Avenue
5245,152_Street_&_76_Avenue
5174,149_Street_&_76_Avenue
