926 Stillwater, 68 Stops
8610,Lewis_Farms_Transit_Centre
8536,West_Henday_Promenade_Access_&_Webber_Greens_Drive
8042,Suder_Greens_Drive_&_Webber_Greens_Drive
8453,Suder_Greens_Drive_&_88_Avenue
8057,207_Street_&_Suder_Greens_Drive
8461,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8704,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8815,Lewis_Estates_Boulevard_&_Breckenridge_Drive
8135,Guardian_Road_&_Whitemud_Drive
8349,Guardian_Road_&_Granville_Drive
8026,Grantham_Drive_&_Guardian_Road
8109,Graham_Gate_&_Guardian_Road
8037,199_Street_&_Glenwright_Crescent
8950,199_Street_&_Fieldstone_Estates_Driveway
8263,199_Street_&_Christian_Assembly_Driveway
8991,199_Street_&_Commercial_Drive
8046,199_Street_&_62_Avenue
8038,199_Street_&_53_Avenue
8170,199_Street_&_Hemmingay_Road
8680,199_Street_&_48_Avenue
8597,199_Street_&_45_Avenue
8162,199_Street_&_Hays_Drive
8150,199_Street_&_44_Avenue
88246,199_Streeet_&_Lessard_Road
88281,199_Street_&_Edgemont_Way
88278,199_Street_&_Elston_Gate
88105,199_Street_&_Edgemont_Boulevard
88107,199_Street_&_Woodbend_Wynd
88109,199_Street_&_31_Avenue
88114,199_Street_&_27_Avenue
88123,199_Street_&_Maskekosihk_Trail
88127,199_Street_&_21_Avenue
88129,Richard_Rice_Boulevard_&_18_Avenue
88704,Richard_Rice_Boulevard_&_Sunwapta_Way
88717,Stillwater_Boulevard_&_Sunwapta_Way
88199,Stillwater_Boulevard_&_19_Avenue
88351,Stillwater_Boulevard_&_Maskekosihk_Trail
88122,199_Street_&_Maskekosihk_Trail
88112,199_Street_&_27_Avenue
88108,199_Street_&_31_Avenue
88106,199_Street_&_Woodbend_Wynd
88104,199_Street_&_Edgemont_Boulevard
88434,199_Street_&_East_Gate
88222,199_Street_&_Edgemont_Road
88220,199_Street_&_Lessard_Road
8197,199_Street_&_44_Avenue
8547,199_Street_&_Hammond_Gate
8580,199_Street_&_45_Avenue
8721,199_Street_&_48_Avenue
8093,199_Street_&_Hemingway_Road
8834,199_Street_&_56_Avenue
8520,199_Street_&_62_Avenue
8802,199_Street_&_Commercial_Drive
8034,199_Street_&_Christian_Assembly_Driveway
8361,199_Street_&_69_Avenue
8367,199_Street_&_Glenwright_Crescent
8036,Garnett_Way_&_Guardian_Road
8489,Grantham_Court_&_Guardian_Road
8235,Grantham_Court_&_Guardian_Road
8033,Guardian_Road_&_Granville_Drive
8242,Lewis_Estates_Boulevard_&_Potter_Greens_Drive
8996,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8715,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8022,Lewis_Estates_Boulevard_&_Suder_Greens_Drive
8368,207_Street_&_Suder_Greens_Drive
8749,Suder_Greens_Drive_&_Picard_Drive
8406,Suder_Greens_Drive_&_Webber_Greens_Drive
8610,Lewis_Farms_Transit_Centre
