930 Hamptons_Express, 27 Stops
2702,South_Campus_Fort_Edmonton_Transit_Centre
22160,116_Street_&_68_Avenue
8135,Guardian_Road_&_Whitemud_Drive
8349,Guardian_Road_&_Granville_Drive
8026,Grantham_Drive_&_Guardian_Road
8109,Graham_Gate_&_Guardian_Road
8037,199_Street_&_Glenwright_Crescent
8177,199_Street_&_69_Avenue
8172,Glastonbury_Boulevard_&_69_Avenue
8103,Glastonbury_Boulevard_&_Galland_Close
8230,Glastonbury_Boulevard_&_Galland_Crescent
8228,Glastonbury_Boulevard_&_Gibb_Wynd
8457,Glastonbury_Boulevard_&_62_Avenue
8402,205_Street_&_62_Avenue
8585,Goodwin_Gate_&_62_Avenue
8320,Getty_Gate_&_62_Avenue
8595,Hemingway_Road_&_62_Avenue
8837,Hemingway_Road_&_60_Avenue
8985,Hemingway_Road_&_57_Avenue
8044,Hardy_Point_&_Hemingway_Road
8060,Hope_Road_&_Hemingway_Road
8745,206_Street_&_Hemingway_Road
8363,204_Street_&_Hemingway_Road
8223,201_Street_&_Hemingway_Road
8093,199_Street_&_Hemingway_Road
8834,199_Street_&_56_Avenue
8460,199_Street_&_62_Avenue
